City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.61,91,100,13.14,SH,1697045122
1,albany,42.6001,-73.9662,18.1,55,99,0.89,US,1697045208
2,enewetak,11.3474,162.3373,28.52,77,39,5.81,MH,1697045234
3,sao joao da barra,-21.6403,-41.0511,28.05,84,81,3.74,BR,1697045053
4,ust-nera,64.5667,143.2,-13.77,99,80,1.34,RU,1697045234
5,uliastay,47.7417,96.8444,4.97,66,3,2.57,MN,1697045235
6,sao tome,0.3365,6.7273,25.3,88,98,4.95,ST,1697045235
7,jamestown,42.097,-79.2353,14.18,73,100,5.14,US,1697045215
8,polyarnyy,69.1989,33.4478,-0.69,81,88,6.02,RU,1697045069
9,longyearbyen,78.2186,15.6401,-6.09,73,20,7.72,SJ,1697045235
10,santiago de cao,-7.9589,-79.2392,22.07,73,77,5.66,PE,1697045236
11,letlhakane,-21.4167,25.5833,29.85,17,60,1.96,BW,1697045236
12,kingisepp,59.3733,28.6134,8.33,86,100,7.6,RU,1697045236
13,axim,4.8699,-2.2405,26.13,84,84,2.56,GH,1697045236
14,waitangi,-43.9535,-176.5597,11.01,88,93,6.26,NZ,1697045236
15,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1697045237
16,invercargill,-46.4,168.35,9.45,83,78,8.05,NZ,1697045237
17,olonkinbyen,70.9221,-8.7187,1.93,74,100,9.4,SJ,1697045237
18,atafu village,-8.5421,-172.5159,28.28,77,44,4.95,TK,1697045237
19,aasiaat,68.7098,-52.8699,-2.56,90,98,3.08,GL,1697045237
20,margaret river,-33.95,115.0667,8.89,87,1,3.93,AU,1697045238
21,avarua,-21.2078,-159.775,22.03,83,100,2.57,CK,1697045238
22,mount gambier,-37.8333,140.7667,10.8,82,100,4.39,AU,1697045238
23,shahrud,36.4182,54.9763,17.76,58,16,5.03,IR,1697045238
24,datong,40.0936,113.2914,13.58,49,100,1.05,CN,1697045239
25,adamstown,-25.066,-130.1015,20.45,70,72,5.29,PN,1697045239
26,vernon,50.2581,-119.2691,14.74,69,31,1.54,CA,1697045114
27,ushuaia,-54.8,-68.3,7.79,71,75,13.86,AR,1697045239
28,yellowknife,62.456,-114.3525,13.01,86,40,7.72,CA,1697045187
29,pemalang,-6.9,109.3667,26.18,69,96,1.75,ID,1697045129
30,acapulco de juarez,16.8634,-99.8901,23.9,94,100,4.63,MX,1697045046
31,bamboo flat,11.7,92.7167,26.05,94,40,0.51,IN,1697045111
32,port-aux-francais,-49.35,70.2167,2.6,69,98,10.36,TF,1697045240
33,college,64.8569,-147.8028,-4.03,91,100,0.0,US,1697045240
34,badr hunayn,23.7829,38.7905,30.78,52,0,0.8,SA,1697045241
35,loa janan,-0.583,117.095,23.91,89,100,0.91,ID,1697045241
36,altamont,42.2068,-121.7372,6.61,91,100,6.17,US,1697045241
37,ribeira grande,38.5167,-28.7,23.22,73,40,6.17,PT,1697045241
38,mertola,37.6592,-7.6643,31.62,22,45,0.53,PT,1697045241
39,blackmans bay,-43.0167,147.3167,15.07,79,23,3.63,AU,1697045241
40,whitehorse,60.7161,-135.0538,2.12,100,100,0.0,CA,1697045242
41,launceston,-41.45,147.1667,11.3,87,70,2.57,AU,1697045242
42,rumonge,-3.9736,29.4386,26.1,63,65,0.52,BI,1697045242
43,hawaiian paradise park,19.5933,-154.9731,23.28,86,100,2.06,US,1697045242
44,qaqortoq,60.7167,-46.0333,5.27,69,91,1.57,GL,1697045242
45,mujiayingzi,42.1167,118.7833,12.24,54,68,2.57,CN,1697045243
46,hermanus,-34.4187,19.2345,16.34,90,85,1.32,ZA,1697045243
47,talnakh,69.4865,88.3972,-0.29,98,100,1.49,RU,1697045243
48,port alfred,-33.5906,26.891,17.88,98,96,2.24,ZA,1697045243
49,kyaikto,17.3,97.0167,25.12,90,83,1.44,MM,1697045243
50,samus',56.7475,84.6992,10.77,66,51,6.15,RU,1697045244
51,tiksi,71.6872,128.8694,-5.82,85,99,9.23,RU,1697045244
52,taro,-8.3862,115.28,23.0,95,59,1.26,ID,1697045244
53,isafjordur,66.0755,-23.124,1.02,80,100,1.03,IS,1697045244
54,puerto ayora,-0.7393,-90.3518,30.98,86,100,3.13,EC,1697045244
55,malmberget,67.1753,20.6549,-1.69,100,100,3.6,SE,1697045245
56,constantia,44.1833,28.65,11.5,57,0,4.36,RO,1697045245
57,enriquillo,17.9,-71.2333,31.82,63,13,5.14,DO,1697045245
58,east london,-33.0153,27.9116,18.52,100,100,4.63,ZA,1697045245
59,mil'kovo,55.6078,37.7956,6.27,53,100,8.29,RU,1697045245
60,hagi,34.4,131.4167,15.75,71,59,3.68,JP,1697045246
61,lata,40.1629,-8.3327,24.49,31,48,2.64,PT,1697045246
62,saipan,15.1355,145.701,27.39,100,75,6.69,MP,1697045246
63,grytviken,-54.2811,-36.5092,0.65,82,48,3.24,GS,1697045246
64,kibale,0.8,31.0667,15.92,99,95,0.85,UG,1697045246
65,hithadhoo,-0.6,73.0833,27.59,76,9,7.02,MV,1697045247
66,port augusta,-32.5,137.7667,14.41,67,18,5.23,AU,1697045247
67,parabel',58.6978,81.4825,6.06,93,100,7.6,RU,1697045247
68,loango,-4.6719,11.8312,26.81,83,20,4.12,CG,1697045247
69,port mathurin,-19.6833,63.4167,23.19,77,80,2.55,MU,1697045247
70,udachny,66.4167,112.4,1.36,63,10,11.78,RU,1697045248
71,zonguldak,41.25,31.8333,9.18,92,32,0.44,TR,1697045248
72,extrema,-22.8547,-46.3183,30.25,41,6,3.32,BR,1697045248
73,iqaluit,63.7506,-68.5145,2.85,64,40,3.6,CA,1697045248
74,usinsk,65.9939,57.5281,2.26,76,100,10.73,RU,1697045248
75,keita,14.7551,5.7749,36.13,14,60,3.21,NE,1697045248
76,stanley,54.868,-1.6985,9.88,77,20,2.57,GB,1697045249
77,nemuro,43.3236,145.575,10.86,68,53,5.43,JP,1697045249
78,sattahip,12.6664,100.9007,29.17,89,20,2.06,TH,1697045249
79,fortuna,40.5982,-124.1573,14.64,95,6,0.57,US,1697045249
80,zouerate,22.7187,-12.4521,35.23,9,34,5.73,MR,1697045249
81,jaciara,-15.9653,-54.9683,37.11,29,63,3.41,BR,1697045250
82,murzuq,25.9155,13.9184,26.08,24,3,3.92,LY,1697045250
83,igarka,67.4667,86.5833,3.33,96,100,3.88,RU,1697045250
84,karratha,-20.7377,116.8463,25.71,64,0,4.43,AU,1697045066
85,chubek,37.6137,69.7061,21.04,14,50,1.5,TJ,1697045250
86,kingston,17.997,-76.7936,32.91,72,20,5.66,JM,1697045034
87,lebu,-37.6167,-73.65,11.03,63,0,10.16,CL,1697045251
88,colby,39.3958,-101.0524,22.68,41,0,3.6,US,1697045165
89,banda aceh,5.5577,95.3222,26.54,83,100,3.64,ID,1697045251
90,along,28.1667,94.7667,19.76,97,26,0.98,IN,1697045251
91,puerto natales,-51.7236,-72.4875,10.25,50,40,9.26,CL,1697045252
92,kombissiri,12.0656,-1.3375,31.99,42,72,1.09,BF,1697045252
93,st. john's,47.5649,-52.7093,15.44,96,100,5.66,CA,1697045251
94,punta arenas,-53.15,-70.9167,8.06,61,75,12.86,CL,1697045165
95,villa nueva,14.5269,-90.5875,27.01,65,40,4.12,GT,1697045252
96,ilulissat,69.2167,-51.1,-4.99,80,40,0.0,GL,1697045252
97,cole harbour,44.6724,-63.4751,15.66,94,100,3.09,CA,1697045253
98,georgetown,5.4112,100.3354,27.96,89,20,2.68,MY,1697045082
99,bethel,41.3712,-73.414,21.22,49,20,6.69,US,1697045253
100,bilibino,68.0546,166.4372,-10.02,91,100,1.81,RU,1697045253
101,quatre cocos,-20.2078,57.7625,22.83,67,74,1.31,MU,1697045254
102,fort st. john,56.2499,-120.8529,8.94,76,75,3.09,CA,1697045114
103,khandyga,62.6667,135.6,-1.71,98,100,2.57,RU,1697045254
104,sur,22.5667,59.5289,30.33,55,0,2.82,OM,1697045254
105,sept-iles,50.2001,-66.3821,13.36,83,20,4.12,CA,1697045101
106,luderitz,-26.6481,15.1594,15.17,78,24,4.87,NA,1697045254
107,nema,57.5067,50.5011,2.54,70,100,2.47,RU,1697045255
108,kalabo,-14.97,22.6814,31.14,16,40,1.03,ZM,1697045255
109,quibala,-10.7337,14.98,23.36,67,100,1.9,AO,1697045255
110,susuman,62.7833,148.1667,-15.57,93,7,0.89,RU,1697045255
111,san pedro,14.35,121.0167,25.57,97,100,1.54,PH,1697045187
112,simpang,-1.2667,104.0833,25.13,82,43,1.02,ID,1697045256
113,bonthe,7.5264,-12.505,27.24,82,95,3.84,SL,1697045256
114,codrington,-38.2667,141.9667,12.23,87,99,6.29,AU,1697045256
115,walvis bay,-22.9575,14.5053,15.53,82,0,6.17,NA,1697045256
116,decorah,43.3033,-91.7857,14.51,30,0,2.57,US,1697045256
117,carnarvon,-24.8667,113.6333,21.2,65,63,11.18,AU,1697045257
118,bredasdorp,-34.5322,20.0403,16.0,95,87,1.61,ZA,1697045257
119,lazaro cardenas,17.9583,-102.2,24.79,93,99,3.65,MX,1697045001
120,fall river,41.7015,-71.1551,20.96,57,75,4.63,US,1697045257
121,korpilahti,62.0167,25.55,12.29,82,100,8.72,FI,1697045257
122,yorkton,51.2167,-102.4677,9.91,62,75,5.66,CA,1697045090
123,mokopane,-24.1944,29.0097,27.68,23,50,3.16,ZA,1697045258
124,yangjiang,21.85,111.9667,22.05,84,81,3.65,CN,1697045258
125,siaton,9.0648,123.0339,26.74,80,98,1.37,PH,1697045258
126,kapoeta,4.7717,33.5903,27.97,52,100,3.38,SS,1697045123
127,bondo,3.8146,23.6866,21.39,98,100,1.62,CD,1697045259
128,qiqihar,47.3408,123.9672,11.81,51,2,2.33,CN,1697045259
129,sitka,57.0531,-135.33,9.94,87,75,0.0,US,1697045259
130,san antonio de pale,-1.4014,5.6325,25.46,82,100,4.0,GQ,1697045259
131,port lincoln,-34.7333,135.8667,13.08,68,6,10.05,AU,1697045260
132,katabu,-4.9333,122.5167,22.71,89,94,1.81,ID,1697045260
133,uturoa,-16.7333,-151.4333,26.0,78,37,7.15,PF,1697045260
134,papatowai,-46.5619,169.4708,9.02,80,93,9.05,NZ,1697045260
